阿公店,A kong tiàm
車幫,tshia pang
車票,tshia phiò
捙拚,tshia piànn
捙跋反,tshia pua̍h píng
捙盤,tshia puânn
車牌,tshia pâi
車布邊,tshia pòo pinn
捙畚斗,tshia pùn táu
車心,tshia sim
車身,tshia sin
車商,tshia siong
車廂,tshia siunn
車窗,tshia thang
車頭,tshia thâu
車體,tshia thé
車燈,tshia ting
車展,tshia tián
車手,tshia tshiú
車廠,tshia tshiúnn
車掌,tshia tsióng
車種,tshia tsióng
車錢,tshia tsînn
車主,tshia tsú
車站,tshia tsām
車單,tshia tuann
車隊,tshia tuī
車斗,tshia táu
車頂,tshia tíng
車擋,tshia tòng
捙倒,tshia tó
車道,tshia tō
車位,tshia uī
車仔,tshia á
車仔線,tshia á suànn
車仔針,tshia á tsiam
車後斗,tshia āu táu
刺,tshiah
赤,tshiah
鍤,tshiah
赤肉,tshiah bah
赤目,tshiah ba̍k
赤牛,tshiah gû
刺花,tshiah hue
刺疫,tshiah ia̍h
赤焱焱,tshiah iānn iānn
刺字,tshiah jī
赤跤,tshiah kha
赤跤仙仔,tshiah kha sian á
鍤箕,tshiah ki
刺字,tshiah lī
刺膨紗,tshiah phòng se
刺耙耙,tshiah pê pê
刺繡,tshiah siù
刺酸,tshiah sng
赤砂,tshiah sua
刺查某,tshiah tsa bóo
赤鯮,tshiah tsang
攕,tshiam
簽,tshiam
籤,tshiam
簽約,tshiam iok
簽字,tshiam jī
簽字,tshiam lī
簽名,tshiam miâ
籤詩,tshiam si
簽署,tshiam sú
攕擔,tshiam tann
簽證,tshiam tsìng
籤筒,tshiam tâng
簽到,tshiam tò
簽訂,tshiam tīng
簽仔,tshiam á
仟,tshian
千,tshian
遷,tshian
韆,tshian
千萬,tshian bān
遷入,tshian ji̍p
遷居,tshian ki
千金,tshian kim
千金譜,tshian kim phóo
千斤秤,tshian kin tshìn
遷居,tshian ku
千斤秤,tshian kun tshìn
千古,tshian kóo
遷入,tshian li̍p
千里鏡,tshian lí kiànn
千辛萬苦,tshian sin bān khóo
遷徙,tshian suá
千千萬萬,tshian tshian bān bān
韆鞦,tshian tshiu
妾,tshiap
竊,tshiap
竊盜,tshiap tō
切,tshiat
掣,tshiat
竊,tshiat
切開,tshiat khui
切片,tshiat phìnn
切斷,tshiat tn̄g
切手,tshiat tshiú
切除,tshiat tû
切換,tshiat uānn
搜,tshiau
超,tshiau
超凡,tshiau huân
超音波,tshiau im pho
超然,tshiau jiân
超人,tshiau jîn
超級,tshiau kip
超過,tshiau kuè
超過,tshiau kè
超然,tshiau liân
超人,tshiau lîn
搜身軀,tshiau sin khu
超生,tshiau sing
超收,tshiau siu
超速,tshiau sok
超市,tshiau tshī
超度,tshiau tōo
超越,tshiau ua̍t
嚓,tshia̍k
嚓嚓趒,tshia̍k tshia̍k tiô
𩑾,tshih
促,tshik
側,tshik
尺,tshik
惻,tshik
慼,tshik
戚,tshik
柵,tshik
測,tshik
策,tshik
粟,tshik
膝,tshik
觸,tshik
赤,tshik
雀,tshik
測驗,tshik giām
促歲壽,tshik huè siū
促歲壽,tshik hè siū
策略,tshik lio̍k
測量,tshik liông
粟埕,tshik tiânn
粟青,tshik tshenn
粟青,tshik tshinn
粟倉,tshik tshng
粟鳥仔,tshik tsiáu á
粟種,tshik tsíng
策畫,tshik uē
粟仔,tshik á
侵,tshim
深,tshim
深目,tshim ba̍k
侵犯,tshim huān
侵害,tshim hāi
深緣,tshim iân
深夜,tshim iā
侵入,tshim ji̍p
深入,tshim ji̍p
深交,tshim kau
深坑,tshim khenn
深刻,tshim khik
深坑,tshim khinn
侵略,tshim lio̍k
侵入,tshim li̍p
深入,tshim li̍p
侵門踏戶,tshim mn̂g ta̍h hōo
深色,tshim sik
深山林內,tshim suann nâ lāi
深深,tshim tshim
深淺,tshim tshián
深層,tshim tsân
深井,tshim tsénn
深情,tshim tsîng
深造,tshim tsō
深沉,tshim tîm
深度,tshim tōo
深遠,tshim uán
親,tshin
親目,tshin ba̍k
親密,tshin bi̍t
親和,tshin hô
親和力,tshin hô li̍k
親友,tshin iú
親家,tshin ke
親家公,tshin ke kong
親骨肉,tshin kut jio̍k
親骨肉,tshin kut lio̍k
親近,tshin kīn
親近,tshin kūn
親人,tshin lâng
親筆,tshin pit
親生,tshin senn
親身,tshin sin
親生,tshin sinn
親屬,tshin sio̍k
親善,tshin siān
親事,tshin sū
親疊親,tshin tha̍h tshin
親切,tshin tshiat
親戚,tshin tshik
親手,tshin tshiú
親像,tshin tshiūnn
親喙,tshin tshuì
親情,tshin tsiânn
親情五十,tshin tsiânn gōo tsa̍p
親族,tshin tso̍k
親情,tshin tsîng
親子,tshin tsú
親自,tshin tsū
親堂,tshin tông
親愛,tshin ài
千,tshing
清,tshing
稱,tshing
青,tshing
清糜,tshing bê
清明,tshing bîng
稱呼,tshing hoo
清火,tshing hué
清寒,tshing hân
清火,tshing hé
清幽,tshing iu
清氣,tshing khì
清氣相,tshing khì siùnn
清潔,tshing kiat
清廉,tshing liâm
青年,tshing liân
清涼,tshing liâng
清理,tshing lí
清糜,tshing muê
清芳,tshing phang
清白,tshing pi̍k
清飯,tshing pn̄g
青山,tshing san
清心,tshing sim
清新,tshing sin
清數,tshing siàu
清秀,tshing siù
清算,tshing suàn
清洗,tshing sué
清掃,tshing sàu
清洗,tshing sé
清爽,tshing sóng
青天,tshing thian
清查,tshing tsa
青春,tshing tshun
清彩,tshing tshái
清醒,tshing tshénn
清醒,tshing tshínn
清楚,tshing tshó
清真寺,tshing tsin sī
清酒,tshing tsiú
清水,tshing tsuí
清淨,tshing tsīng
清單,tshing tuann
清茶,tshing tê
清除,tshing tû
清閒,tshing îng
清運,tshing ūn
清,tshinn
腥,tshinn
菁,tshinn
鮮,tshinn
青面獠牙,tshinn bīn liâu gê
生番,tshinn huan
鮮花,tshinn hue
生驚,tshinn kiann
青光眼,tshinn kong gán
青耆,tshinn kî
生狂,tshinn kông
生冷,tshinn líng
清明,tshinn miâ
青盲牛,tshinn mî gû
青磅白磅,tshinn pōng pe̍h pōng
青色,tshinn sik
生疏,tshinn soo
青恂恂,tshinn sún sún
生頭凊面,tshinn thâu tshìn bīn
鮮沢,tshinn tshioh
青翠,tshinn tshuì
生菜,tshinn tshài
青菜,tshinn tshài
青草,tshinn tsháu
青草仔店,tshinn tsháu á tiàm
青草仔茶,tshinn tsháu á tê
生真,tshinn tsin
菁仔,tshinn á
菁仔欉,tshinn á tsâng
青紅燈,tshinn âng ting
親姆婆,tshinn ḿ pô
俏,tshio
𪁎,tshio
𪁎哥,tshio ko
𪁎趒,tshio tiô
尺,tshioh
沢,tshioh
促,tshiok
捉,tshiok
綽,tshiok
觸,tshiok
雀,tshiok
觸犯,tshiok huān
雀斑,tshiok pan
促銷,tshiok siau
促成,tshiok sîng
促使,tshiok sú
促進,tshiok tsìn
倡,tshiong
充,tshiong
娼,tshiong
從,tshiong
昌,tshiong
沖,tshiong
猖,tshiong
縱,tshiong
菖,tshiong
衝,tshiong
鏘,tshiong
充滿,tshiong buán
充血,tshiong hiat
充分,tshiong hun
沖犯,tshiong huān
衝擊,tshiong kik
充公,tshiong kong
菖蒲,tshiong pôo
沖銷,tshiong siau
充實,tshiong si̍t
充電,tshiong tiān
充足,tshiong tsiok
衝突,tshiong tu̍t
衝動,tshiong tōng
蓆,tshio̍h
浞,tshio̍k
緝,tship
輯,tship
七,tshit
姼,tshit
拭,tshit
𨑨,tshit
七月半,tshit ge̍h puànn
七月半,tshit gue̍h puànn
七字仔,tshit jī á
拭尻川,tshit kha tshng
七孔,tshit khóng
七老八老,tshit lāu peh lāu
七老八老,tshit lāu pueh lāu
七字仔,tshit lī á
七夕,tshit sia̍h
𨑨迌,tshit thô
𨑨迌囡仔,tshit thô gín á
𨑨迌人,tshit thô lâng
𨑨迌物仔,tshit thô mih á
𨑨迌物,tshit thô mi̍h
𨑨迌物,tshit thô mn̍gh
𨑨迌查某,tshit thô tsa bóo
𨑨迌印仔,tshit thô ìn á
七星,tshit tshenn
七星,tshit tshinn
七早八早,tshit tsá peh tsá
七早八早,tshit tsá pueh tsá
七晏八晏,tshit uànn peh uànn
七晏八晏,tshit uànn pueh uànn
姼仔,tshit á
拭仔,tshit á
姼仔詼,tshit á khue
秋,tshiu
羞,tshiu
鞦,tshiu
鬚,tshiu
鶖,tshiu
秋分,tshiu hun
秋冬,tshiu tang
秋天,tshiu thinn
秋凊,tshiu tshìn
槍,tshiunn
腔,tshiunn
鯧,tshiunn
唱,tshiàng
唱聲,tshiàng siann
倩,tshiànn
倩的,tshiànn ê
俏,tshiàu
笑,tshiàu
笑談,tshiàu tâm
攕,tshiám
攕仔,tshiám á
淺,tshián
闡,tshián
淺眠,tshián bîn
淺緣,tshián iân
淺見,tshián kiàn
淺色,tshián sik
淺想,tshián siūnn
淺拖仔,tshián thua á
蹌,tshiáng
蹌跤雞,tshiáng kha ke
蹌跤雞,tshiáng kha kue
蹌箍螺,tshiáng khoo lê
且,tshiánn
請,tshiánn
且慢,tshiánn bān
請人客,tshiánn lâng kheh
請問,tshiánn mn̄g
請神,tshiánn sîn
請帖,tshiánn thiap
請桌,tshiánn toh
請坐,tshiánn tsē
斜,tshiâ
斜目,tshiâ ba̍k
延,tshiân
腸,tshiân
錢,tshiân
場,tshiâng
常,tshiâng
沖,tshiâng
腸,tshiâng
長,tshiâng
沖沖滾,tshiâng tshiâng kún
沖水,tshiâng tsuí
常在,tshiâng tsāi
成,tshiânn
晟,tshiânn
晟養,tshiânn ióng
成格,tshiânn kik
撨,tshiâu
撨徙,tshiâu suá
撨時鐘,tshiâu sî tsing
撨摵,tshiâu tshi̍k
笑,tshiò
笑微微,tshiò bi bi
笑吻吻,tshiò bún bún
笑面虎,tshiò bīn hóo
笑咍咍,tshiò hai hai
笑容,tshiò iông
笑詼,tshiò khe
笑詼齣,tshiò khe tshut
笑詼,tshiò khue
笑詼齣,tshiò khue tshut
笑桮,tshiò pue
笑聲,tshiò siann
笑頭笑面,tshiò thâu tshiò bīn
笑話,tshiò uē
倡,tshiòng
唱,tshiòng
縱,tshiòng
搶,tshióng
縱,tshióng
唱,tshiùnn
啾,tshiùnn
唱法,tshiùnn huat
唱歌,tshiùnn kua
唱片,tshiùnn phìnn
唱盤,tshiùnn puânn
唱出,tshiùnn tshut
帚,tshiú
手,tshiú
醜,tshiú
手目,tshiú ba̍k
手尾,tshiú bué
手尾力,tshiú bué la̍t
手尾錢,tshiú bué tsînn
手尾,tshiú bé
手尾力,tshiú bé la̍t
手尾錢,tshiú bé tsînn
手模,tshiú bôo
手面,tshiú bīn
手面趁食,tshiú bīn thàn tsia̍h
手語,tshiú gí
手語,tshiú gú
手藝,tshiú gē
手風琴,tshiú hong khîm
手法,tshiú huat
手扞仔,tshiú huānn á
手形,tshiú hîng
手痕,tshiú hûn
手下,tshiú hā
手爪,tshiú jiáu
手爪賤,tshiú jiáu tsiān
手工,tshiú kang
手曲,tshiú khiau
手環,tshiú khuân
手銬,tshiú khàu
手機仔,tshiú ki á
手巾仔,tshiú kin á
手骨,tshiú kut
手稿,tshiú kó
手股,tshiú kóo
手股頭,tshiú kóo thâu
手爪賤,tshiú liáu tsiān
手橐仔,tshiú lok á
手囊,tshiú lông
手路,tshiú lōo
手路菜,tshiú lōo tshài
手爪,tshiú niáu
手爪賤,tshiú niáu tsiān
手縫櫳,tshiú phāng lang
手縫疏,tshiú phāng se
手筆,tshiú pit
手錶,tshiú pió
手錶仔,tshiú pió á
手盤,tshiú puânn
手排,tshiú pâi
手捗,tshiú pôo
手耙,tshiú pē
手梳攑懸,tshiú se gia̍h kuân
手心,tshiú sim
手液,tshiú sio̍h
手續,tshiú sio̍k
手術,tshiú su̍t
手勢,tshiú sè
手數料,tshiú sòo liāu
手頭,tshiú thâu
手套,tshiú thò
手中,tshiú tiong
手電仔,tshiú tiān á
手冊,tshiú tsheh
手銃,tshiú tshìng
手摺簿仔,tshiú tsih phōo á
手賤,tshiú tsiān
手指,tshiú tsí
手指頭仔,tshiú tsíng thâu á
手底,tshiú tué
手蹄仔,tshiú tuê á
手段,tshiú tuānn
手底,tshiú té
手蹄仔,tshiú tê á
手擋,tshiú tòng
手肚,tshiú tóo
手動,tshiú tōng
手腕,tshiú uánn
手腕骨,tshiú uánn kut
手䘼,tshiú uínn
手印,tshiú ìn
手後曲,tshiú āu khiau
廠,tshiúnn
搶,tshiúnn
搶劫,tshiúnn kiap
搶救,tshiúnn kiù
搶孤,tshiúnn koo
廠牌,tshiúnn pâi
廠房,tshiúnn pâng
廠商,tshiúnn siong
搶頭香,tshiúnn thâu hiunn
搶頭標,tshiúnn thâu pio
廠長,tshiúnn tiúnn
搶市,tshiúnn tshī
搶奪,tshiúnn tua̍t
搶案,tshiúnn àn
愁,tshiû
揫,tshiû
楊,tshiûnn
牆,tshiûnn
薔,tshiûnn
颺,tshiûnn
颺風,tshiûnn hong
颺粟,tshiûnn tshik
牆圍,tshiûnn uî
牆仔,tshiûnn á
杓仔,tshiā á
䢢,tshiāng
䢢拄䢢,tshiāng tú tshiāng
炤,tshiō
樹,tshiū
樹木,tshiū ba̍k
樹尾,tshiū bué
樹尾,tshiū bé
樹葉,tshiū hio̍h
樹枝,tshiū ki
樹根,tshiū kin
樹絡,tshiū le
樹奶,tshiū ling
樹奶束仔,tshiū ling sok á
樹奶糖,tshiū ling thn̂g
樹梅,tshiū m̂
樹奶,tshiū ni
樹奶束仔,tshiū ni sok á
樹奶糖,tshiū ni thn̂g
樹林,tshiū nâ
樹身,tshiū sin
樹頭,tshiū thâu
樹栽,tshiū tsai
樹子,tshiū tsí
樹薯,tshiū tsî
樹薯,tshiū tsû
樹豆,tshiū tāu
樹椏,tshiū ue
樹仔,tshiū á
樹蔭,tshiū ńg
上,tshiūnn
像,tshiūnn
匠,tshiūnn
象,tshiūnn
象牙,tshiūnn gê
象棋,tshiūnn kî
上殕,tshiūnn phú
上青苔,tshiūnn tshenn thî
上青苔,tshiūnn tshinn thî
上水,tshiūnn tsuí
蠘,tshi̍h
揤電鈴,tshi̍h tiān lîng
蠘仔,tshi̍h á
摵,tshi̍k
踔,tshi̍k
摵仔麵,tshi̍k á mī
倉,tshng
川,tshng
栓,tshng
瘡,tshng
艙,tshng
倉庫,tshng khòo
床,tshn̂g
床巾,tshn̂g kin
床巾,tshn̂g kun
床鋪,tshn̂g phoo
床頭,tshn̂g thâu
操,tsho
磋,tsho
臊,tsho
蹉,tsho
臊菜,tsho tshài
𧮙,tshoh
撮,tshok
簇,tshok
錯,tshok
倉,tshong
創,tshong
匆,tshong
滄,tshong
瘡,tshong
窗,tshong
聰,tshong
艙,tshong
蒼,tshong
聰明,tshong bîng
滄桑,tshong song
初,tshoo
粗,tshoo
初學者,tshoo ha̍k tsiá
粗瓷,tshoo huî
初一,tshoo it
粗勇,tshoo ióng
粗工,tshoo kang
粗糠,tshoo khng
初級,tshoo kip
初見面,tshoo kìnn bīn
初期,tshoo kî
初稿,tshoo kó
初戀,tshoo luân
粗人,tshoo lâng
粗魯,tshoo lóo
粗坯,tshoo phe
粗坯,tshoo phue
粗飽,tshoo pá
粗布,tshoo pòo
初步,tshoo pōo
粗俗,tshoo sio̍k
粗俗貨,tshoo sio̍k huè
粗俗貨,tshoo sio̍k hè
粗俗物仔,tshoo sio̍k mih á
初選,tshoo suán
粗桶,tshoo tháng
粗淺,tshoo tshián
初初,tshoo tshoo
粗菜便飯,tshoo tshài piān pn̄g
粗殘,tshoo tshân
初試,tshoo tshì
粗穿,tshoo tshīng
粗紙,tshoo tsuá
粗重,tshoo tāng
粗用,tshoo īng
鑿,tsho̍k
嵯,tshu
樞,tshu
舒,tshu
趨,tshu
舒被,tshu phuē
趨冰,tshu ping
趨勢,tshu sè
掣,tshuah
疶,tshuah
礤,tshuah
掣流,tshuah lâu
礤冰,tshuah ping
疶屎,tshuah sái
礤簽,tshuah tshiam
掣一趒,tshuah tsi̍t tiô
川,tshuan
穿,tshuan
詮,tshuan
釧,tshuan
川芎,tshuan kiong
川貝,tshuan puè
川七,tshuan tshit
扦,tshuann
斜,tshua̍h
斜角,tshua̍h kak
吹,tshue
炊,tshue
吹風,tshue hong
吹風機,tshue hong ki
炊粉,tshue hún
初一,tshue it
炊粿,tshue kué
吹狗螺,tshue káu lê
炊床,tshue sn̂g
炊斗,tshue táu
慼心,tshueh sim
焠,tshuh
眵,tshuh
眵目,tshuh ba̍k
眵眵,tshuh tshuh
催,tshui
吹,tshui
崔,tshui
推,tshui
摧,tshui
催眠,tshui bîn
催油,tshui iû
催生,tshui sing
推撨,tshui tshiâu
穿,tshuinn
伸,tshun
春,tshun
村,tshun
賰,tshun
鶉,tshun
村民,tshun bîn
春牛圖,tshun gû tôo
春風,tshun hong
春暉,tshun hui
春分,tshun hun
春夏,tshun hā
伸跤,tshun kha
伸勼,tshun kiu
春假,tshun ká
春聯,tshun liân
伸輪,tshun lûn
春飯,tshun pn̄g
春天,tshun thinn
村長,tshun tiúnn
伸長,tshun tn̂g
伸長手,tshun tn̂g tshiú
春節,tshun tseh
伸捙,tshun tshia
伸手,tshun tshiú
伸出,tshun tshut
春節,tshun tsueh
賰錢,tshun tsînn
春仔花,tshun á hue
賰的,tshun ê
伸勻,tshun ûn
出,tshut
齣,tshut
出賣,tshut buē
出賣,tshut bē
出面,tshut bīn
出獄,tshut ga̍k
出業,tshut gia̍p
出外,tshut guā
出現,tshut hiān
出風口,tshut hong kháu
出風頭,tshut hong thâu
出發,tshut huat
出血,tshut hueh
出血,tshut huih
出貨,tshut huè
出海,tshut hái
出貨,tshut hè
出入,tshut ji̍p
出任,tshut jīm
出家,tshut ke
出刊,tshut khan
出氣,tshut khuì
出口,tshut kháu
出去,tshut khì
出勤,tshut khîn
出勤,tshut khûn
出擊,tshut kik
出腳,tshut kioh
出國,tshut kok
出港,tshut káng
出價,tshut kè
出嫁,tshut kè
出境,tshut kíng
出力,tshut la̍t
出入,tshut li̍p
出來,tshut lâi
出膿,tshut lâng
出爐,tshut lôo
出任,tshut līm
出路,tshut lōo
出名,tshut miâ
出門,tshut mn̂g
出馬,tshut má
出癖,tshut phia̍h
出帆,tshut phâng
出品,tshut phín
出版,tshut pán
出師,tshut sai
出生,tshut senn
出聲,tshut siann
出色,tshut sik
出身,tshut sin
出生,tshut sinn
出席,tshut si̍k
出山,tshut suann
出產,tshut sán
出世,tshut sì
出巡,tshut sûn
出脫,tshut thuat
出團,tshut thuân
出頭,tshut thâu
齣頭,tshut thâu
出頭天,tshut thâu thinn
出土,tshut thóo
出丁,tshut ting
出擢,tshut tioh
出張,tshut tiunn
出場,tshut tiûnn
出差,tshut tshai
出手,tshut tshiú
出廠,tshut tshiúnn
出箠,tshut tshuê
出喙,tshut tshuì
出酒,tshut tsiú
出租,tshut tsoo
出珠,tshut tsu
出水,tshut tsuí
出在,tshut tsāi
出庭,tshut tîng
出動,tshut tōng
出院,tshut īnn
出運,tshut ūn
蔡,tshuà
串,tshuàn
竄,tshuàn
篡,tshuàn
串講,tshuàn kóng
串聯,tshuàn liân
串通,tshuàn thong
闖,tshuàng
閂,tshuànn
喘,tshuán
喘氣,tshuán khuì
喘大氣,tshuán tuā khuì
攢,tshuân
摖,tshuè
粞,tshuè
髓,tshué
棰,tshuê
箠,tshuê
箠仔,tshuê á
喙,tshuì
碎,tshuì
粹,tshuì
翠,tshuì
脆,tshuì
喙罨,tshuì am
喙尾,tshuì bué
喙尾,tshuì bé
喙花,tshuì hue
碎鹽鹽,tshuì iâm iâm
脆弱,tshuì jio̍k
喙角,tshuì kak
喙空,tshuì khang
喙箍,tshuì khoo
喙口,tshuì kháu
喙齒,tshuì khí
喙齒根,tshuì khí kin
喙齒根,tshuì khí kun
喙齒縫,tshuì khí phāng
碎糊糊,tshuì kôo kôo
喙瀾,tshuì nuā
喙桮,tshuì pe
喙白,tshuì pe̍h
喙䫌肉,tshuì phué bah
喙䫌,tshuì phé
碎片,tshuì phìnn
喙桮,tshuì pue
喙水,tshuì suí
喙焦,tshuì ta
喙鬚,tshuì tshiu
喙笑目笑,tshuì tshiò ba̍k tshiò
喙臭,tshuì tshàu
喙舌,tshuì tsi̍h
喙殘,tshuì tsuânn
喙斗,tshuì táu
喙脣,tshuì tûn
喙脣皮,tshuì tûn phuê
喙脣皮,tshuì tûn phê
喙下斗,tshuì ē táu
髓,tshuí
娶,tshuā
泄,tshuā
𤆬,tshuā
娶某,tshuā bóo
泄尿,tshuā jiō
泄尿,tshuā liō
𤆬路,tshuā lōo
𤆬路雞,tshuā lōo ke
𤆬路雞,tshuā lōo kue
𤆬領,tshuā niá
娶新娘,tshuā sin niû
娶新婦,tshuā sin pū
𤆬頭,tshuā thâu
揣,tshuē
揣頭路,tshuē thâu lōo
菜,tshài
菜鴨,tshài ah
菜尾,tshài bué
菜尾,tshài bé
菜園,tshài hn̂g
菜花,tshài hue
菜販仔,tshài huàn á
菜燕,tshài iàn
菜油,tshài iû
菜鴿目,tshài kap ba̍k
菜擴,tshài khok
菜鹹,tshài kiâm
菜姑,tshài koo
菜瓜,tshài kue
菜瓜布,tshài kue pòo
菜瓜蒲,tshài kue pôo
菜瓜摖,tshài kue tshè
菜館,tshài kuán
菜架仔,tshài kè á
菜籃,tshài nâ
菜包,tshài pau
菜配,tshài phuè
菜配,tshài phè
菜脯,tshài póo
菜脯米,tshài póo bí
菜脯簽,tshài póo tshiam
菜蔬,tshài se
菜色,tshài sik
菜心,tshài sim
菜宅,tshài the̍h
菜湯,tshài thng
菜蟲,tshài thâng
菜頭,tshài thâu
菜頭粿,tshài thâu kué
菜砧,tshài tiam
菜店,tshài tiàm
菜店查某,tshài tiàm tsa bóo
菜堂,tshài tn̂g
菜刀,tshài to
菜桌,tshài toh
菜礤,tshài tshuah
菜市仔,tshài tshī á
菜市仔名,tshài tshī á miâ
菜鳥,tshài tsiáu
菜鳥仔,tshài tsiáu á
菜粽,tshài tsàng
菜子,tshài tsí
菜子油,tshài tsí iû
菜蟳,tshài tsîm
菜單,tshài tuann
菜底,tshài tué
菜底,tshài té
菜櫥,tshài tû
菜豆,tshài tāu
懺,tshàm
摻,tshàm
讖,tshàm
燦,tshàn
燦爛,tshàn lān
聳,tshàng
藏,tshàng
聳鬚,tshàng tshiu
藏水沬,tshàng tsuí bī
臭,tshàu
臭面,tshàu bīn
臭薟薟,tshàu hiam hiam
臭香,tshàu hiunn
臭羶,tshàu hiàn
臭風,tshàu hong
臭火薰,tshàu hué hun
臭火燒,tshàu hué sio
臭火焦,tshàu hué ta
臭火薰,tshàu hé hun
臭火燒,tshàu hé sio
臭火焦,tshàu hé ta
臭耳甕仔,tshàu hī àng á
臭耳聾,tshàu hīnn lâng
臭耳甕仔,tshàu hīnn àng á
臭藥丸仔,tshàu io̍h uân á
臭油,tshàu iû
臭油餲,tshàu iû ai
臭油垢,tshàu iû káu
臭煬,tshàu iāng
臭尿薟,tshàu jiō hiam
臭溝仔,tshàu kau á
臭跤液,tshàu kha sio̍h
臭柿仔,tshàu khī á
臭汗酸,tshàu kuānn sng
臭奶呆,tshàu ling tai
臭尿薟,tshàu liō hiam
臭人,tshàu lâng
臭老,tshàu lāu
臭屁,tshàu phuì
臭屁仙,tshàu phuì sian
臭殕,tshàu phú
臭酸,tshàu sng
臭焦,tshàu ta
臭頭,tshàu thâu
臭頭雞仔,tshàu thâu ke á
臭頭雞仔,tshàu thâu kue á
臭塗味,tshàu thôo bī
臭腥公,tshàu tshenn kong
臭腥仔,tshàu tshenn á
臭腥公,tshàu tshinn kong
臭臊,tshàu tsho
臭喙角,tshàu tshuì kak
臭腥,tshàu tshènn
臭賤,tshàu tsiān
臭彈,tshàu tuānn
臭豆腐,tshàu tāu hū
臭丸,tshàu uân
吵,tshá
炒,tshá
吵家抐計,tshá ke lā kè
吵家抐宅,tshá ke lā the̍h
吵抐,tshá lā
吵鬧,tshá nāu
炒作,tshá tsok
彩,tshái
採,tshái
綵,tshái
踩,tshái
采,tshái
彩繪,tshái huē
採訪,tshái hóng
採用,tshái iōng
踩街,tshái ke
踩街,tshái kue
彩券,tshái kuàn
採購,tshái kòo
採納,tshái la̍p
彩色,tshái sik
彩頭,tshái thâu
採取,tshái tshú
採集,tshái tsi̍p
彩妝,tshái tsong
慘,tshám
慘烈,tshám lia̍t
吵,tsháu
草,tsháu
草蝦,tsháu hê
草魚,tsháu hî
草絪,tsháu in
草藥,tsháu io̍h
草鍥仔,tsháu keh á
草囷,tsháu khûn
草菇,tsháu koo
草鍥仔,tsháu kueh á
草猴,tsháu kâu
草笠仔,tsháu le̍h á
草寮仔,tsháu liâu á
草笠仔,tsháu lue̍h á
草人,tsháu lâng
草蜢仔,tsháu meh á
草莓,tsháu m̂
草蜢公,tsháu neh kong
草埔,tsháu poo
草霸王,tsháu pà ông
草垺,tsháu pû
草蔬,tsháu se
草索仔,tsháu soh á
草蓆,tsháu tshio̍h
草厝仔,tsháu tshù á
草地,tsháu tuē
草地人,tsháu tuē lâng
草地倯,tsháu tuē sông
草地,tsháu tē
草地人,tsháu tē lâng
草地倯,tsháu tē sông
草鞋,tsháu uê
草仔,tsháu á
草仔粿,tsháu á kué
草仔粿,tsháu á ké
草仔子,tsháu á tsí
草鞋,tsháu ê
查,tshâ
柴,tshâ
柴目,tshâ ba̍k
查明,tshâ bîng
查封,tshâ hong
柴魚,tshâ hî
柴魚,tshâ hû
柴油,tshâ iû
柴鍥,tshâ keh
柴杙,tshâ khi̍t
柴箍,tshâ khoo
查扣,tshâ khàu
柴屐,tshâ kia̍h
柴鍥,tshâ kueh
柴寮,tshâ liâu
柴門,tshâ mn̂g
柴耙,tshâ pê
柴梳,tshâ se
查數,tshâ siàu
柴梳,tshâ sue
查詢,tshâ sûn
柴桶,tshâ tháng
柴頭,tshâ thâu
柴頭尪仔,tshâ thâu ang á
柴砧,tshâ tiam
柴刀,tshâ to
柴㷮,tshâ tsau
查出,tshâ tshut
柴草,tshâ tsháu
柴柴,tshâ tshâ
查證,tshâ tsìng
才,tshâi
裁,tshâi
裁縫,tshâi hông
裁縫店,tshâi hông tiàm
裁決,tshâi kuat
裁判,tshâi phuànn
裁示,tshâi sī
裁刀,tshâi to
裁定,tshâi tīng
裁員,tshâi uân
蠶,tshâm
殘,tshân
田,tshân
蠶,tshân
田嬰,tshân enn
田園,tshân hn̂g
田岸,tshân huānn
田岸路,tshân huānn lōo
田蛤仔,tshân kap á
田契,tshân khuè
田契,tshân khè
田僑仔,tshân kiâu á
田螺,tshân lê
田佃,tshân tiān
殘殘,tshân tshân
田庄,tshân tsng
田租,tshân tsoo
田地,tshân tuē
蠶豆,tshân tāu
田地,tshân tē
撨徙,tshâu suá
切,tshè
廁,tshè
摖,tshè
粞,tshè
脆,tshè
𤺅,tshè
脆柿,tshè khī
脆命,tshè miā
腥,tshènn
扯,tshé
醒,tshénn
醒目,tshénn ba̍k
䠡,tshê
棰,tshê
箠仔,tshê á
刺,tshì
翅,tshì
莿,tshì
試,tshì
試驗,tshì giām
試用,tshì iōng
試看,tshì khuànn
試看覓,tshì khuànn māi
刺激,tshì kik
試鹹汫,tshì kiâm tsiánn
試鹹淡,tshì kiâm tānn
刺瓜仔,tshì kue á
刺䲅,tshì kui
刺毛蟲,tshì môo thâng
試飛,tshì pe
刺波,tshì pho
試飛,tshì pue
試辦,tshì pān
刺殺,tshì sat
試射,tshì siā
刺探,tshì thàm
試探,tshì thàm
刺竹,tshì tik
刺竹筍,tshì tik sún
刺鑿,tshì tsha̍k
試車,tshì tshia
試題,tshì tuê
試題,tshì tê
莿桐,tshì tông
刺仔,tshì á
凊,tshìn
秤,tshìn
凊糜,tshìn bê
凊汗,tshìn kuānn
凊糜,tshìn muê
凊飯,tshìn puīnn
凊心,tshìn sim
